Focus Area,Clinical Categories,URL
"Reliability and Performance, Privacy and Security, Safety and Risk Management",,https://ahca.myflorida.com/content/download/24675/file/MED180%20D50%20MMA%20Summative%20Report%20FINAL.pdf
"Reliability and Performance, Privacy and Security, Ethics and Consent, Safety and Risk Management",,https://ahca.myflorida.com/Medicaid/pdffiles/provider_alerts/2020_03/Medicaid_Telemedicine_Guidance_20200318.pdf
"Reliability and Performance, Privacy and Security, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://ahca.myflorida.com/content/download/10499/file/SCHIP_MeetingPacket061621.pdf
"Reliability and Performance, Privacy and Security, Safety and Risk Management, Governance Committees",,https://ahca.myflorida.com/content/download/25735/file/2023-24%20Annual%20Fraud%20and%20Abuse%20Final%2001%2017%202025.pdf
"Privacy and Security, Ethics and Consent, Safety and Risk Management, Governance Committees",,"https://ahca.myflorida.com/content/download/24421/file/The%20Joseph%20L.%20Morse%20Health%20Center,%20Inc.%20-%20Redacted.pdf"
"Bias and Fairness, Reliability and Performance",,https://ahca.myflorida.com/content/download/20154/file/Florida_Woman_Care_and_Lucina_Analytics-Medicaid_RFI_014-2122_Response.pdf
"Privacy and Security, Ethics and Consent, Safety and Risk Management",,https://dch.georgia.gov/sites/dch.georgia.gov/files/PHCP-InitialLicensurePacket-3-21-16.pdf
"Reliability and Performance, Privacy and Security, Safety and Risk Management",,https://www.mmis.georgia.gov/portal/Portals/0/StaticContent/Public/ALL/NOTICES/New%20Biller-Web%20Portal%20Navigation%202023%20Webinar%20PresentationFINALFINAL%2020230112173143.pdf
"Privacy and Security, Ethics and Consent, Safety and Risk Management",,https://dch.georgia.gov/sites/dch.georgia.gov/files/ADC-InitialLicensurePacket-1-15-15_0.pdf
Safety and Risk Management,,https://health.hawaii.gov/dcab/files/2018/07/Kauai-2018.pdf
Safety and Risk Management,,https://health.hawaii.gov/dcab/files/2019/07/Travler-Tips-Maui-and-Molokai-2019-07-web.pdf
Safety and Risk Management,,https://health.hawaii.gov/dcab/files/2017/06/Maui-8x11.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Safety and Risk Management","Radiology, Geriatrics, Pharmacology, Surgery, Primary care, Internal Medicine",https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2024/interim/241115_aiwg_03_HERRING_Presentation%20to%20Idaho%20AI%20WG.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Safety and Risk Management","Surgery, Neurology, Internal Medicine, Psychiatry",https://dopl.idaho.gov/wp-content/uploads/2025/06/2025-June-BOM-newsletter.pdf
"Reliability and Performance, Transparency and Explainability, Safety and Risk Management, Governance Committees","Gastroenterology, Oncology",https://veterans.idaho.gov/wp-content/uploads/2024/05/2024-MAY-Bulletin.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://www.chfs.ky.gov/agencies/os/oats/polstand/080101AIGen%20AI.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Governance Committees",,https://mgaleg.maryland.gov/cmte_testimony/2025/fin/29604_03262025_92242-987.pdf
Reliability and Performance,,https://mgaleg.maryland.gov/cmte_testimony/2025/hgo/1j4iZpX3Ve6-I1rNwbJGBSgJV2LOs03sD.pdf
