URL,AI Applications,Similarity Scores
https://www.tn.gov/content/dam/tn/finance/aicouncil/documents/STS%20Roadmap%20for%20AI.pdf,[],{}
https://www.medrxiv.org/content/10.1101/2024.10.23.24315991v1.full.pdf,"['Research and Clinical Trial AI', 'Public Health AI']","{'Research and Clinical Trial AI': 0.6407436996024658, 'Public Health AI': 0.6325311400452617}"
https://aclanthology.org/2023.clinicalnlp-1.39.pdf,[],{}
https://hscrc.maryland.gov/Documents/March%202025%20PUBLIC%20POST-MEETING%20Materials%20-%20finalv2.pdf,[],{}
https://hscrc.maryland.gov/Documents/AHEAD/MD%20AHEAD%20Application%20FINAL%20PUBLIC%2003152024.pdf,[],{}
https://www.tn.gov/content/dam/tn/health/documents/PH-3549.pdf,[],{}
https://hscrc.maryland.gov/Documents/Modernization/Regional%20Partnership%20%20Docs/Baltimore%20Metropolitan%20Diabetes%20Regional%20Partnership%20Full%20Proposal.pdf,[],{}
https://aitaskforce.alabama.gov/wp-content/uploads/2024/04/Microsoft-AI-Procurement-Paper_Final.pdf,[],{}
https://www.tn.gov/content/dam/tn/health/healthprofboards/medicalexaminers/MD_SP_Application.pdf,[],{}
https://hscrc.maryland.gov/Documents/QBR%20RY%202024%20Final%20Approved%20File.pdf,[],{}
https://www.tn.gov/content/dam/tn/tacir/2020publications/2020GPSmonitoring.pdf,[],{}
https://prod.drupal.gaotest.org/assets/gao-21-7sp.pdf,"['Clinical Documentation AI', 'Education and Training AI', 'Operational and Administrative Automation', 'Public Health AI', 'Patient-facing AI', 'Research and Clinical Trial AI', 'Robotics and Surgical AI', 'Medical Imaging AI', 'Clinical Decision Support', 'Predictive Analytics']","{'Clinical Documentation AI': 0.6365359016504373, 'Education and Training AI': 0.6224156732877524, 'Operational and Administrative Automation': 0.6354799573516312, 'Public Health AI': 0.6355028667737699, 'Patient-facing AI': 0.6423294510320863, 'Research and Clinical Trial AI': 0.6137903782882881, 'Robotics and Surgical AI': 0.6516395841999645, 'Medical Imaging AI': 0.6102885266419338, 'Clinical Decision Support': 0.6354090030098946, 'Predictive Analytics': 0.6242892924975266}"
https://insurance.maryland.gov/Insurer/Documents/bulletins/24-11-The-Use-of-Artificial-Intelligence-Systems-in-Insurance.pdf,[],{}
https://prod.drupal.gaotest.org/assets/880/874488.pdf,[],{}
https://iipseries.org/assets/submission/iip2024C00ABFFDDFA1DAC.pdf
https://apps.legislature.ky.gov/CommitteeDocuments/7/12012/Nov%2018%202019%20Gaedeke%20-%20LARA%20MAPS%20Presentation.pdf
https://jtc1info.org/wp-content/uploads/2023/12/Overview_of_ISO_IEC_workshop_Wael.pdf
