URL,AI Applications,Similarity Scores
https://ahca.myflorida.com/content/download/24675/file/MED180%20D50%20MMA%20Summative%20Report%20FINAL.pdf,[],{}
https://ahca.myflorida.com/Medicaid/pdffiles/provider_alerts/2020_03/Medicaid_Telemedicine_Guidance_20200318.pdf,[],{}
https://ahca.myflorida.com/content/download/10499/file/SCHIP_MeetingPacket061621.pdf,[],{}
https://ahca.myflorida.com/content/download/25735/file/2023-24%20Annual%20Fraud%20and%20Abuse%20Final%2001%2017%202025.pdf,[],{}
"https://ahca.myflorida.com/content/download/24421/file/The%20Joseph%20L.%20Morse%20Health%20Center,%20Inc.%20-%20Redacted.pdf",[],{}
https://ahca.myflorida.com/content/download/20154/file/Florida_Woman_Care_and_Lucina_Analytics-Medicaid_RFI_014-2122_Response.pdf,[],{}
https://dch.georgia.gov/sites/dch.georgia.gov/files/PHCP-InitialLicensurePacket-3-21-16.pdf,[],{}
https://www.mmis.georgia.gov/portal/Portals/0/StaticContent/Public/ALL/NOTICES/New%20Biller-Web%20Portal%20Navigation%202023%20Webinar%20PresentationFINALFINAL%2020230112173143.pdf,[],{}
https://dch.georgia.gov/sites/dch.georgia.gov/files/ADC-InitialLicensurePacket-1-15-15_0.pdf,[],{}
https://health.hawaii.gov/dcab/files/2018/07/Kauai-2018.pdf,[],{}
https://health.hawaii.gov/dcab/files/2019/07/Travler-Tips-Maui-and-Molokai-2019-07-web.pdf,[],{}
https://health.hawaii.gov/dcab/files/2017/06/Maui-8x11.pdf,[],{}
https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2024/interim/241115_aiwg_03_HERRING_Presentation%20to%20Idaho%20AI%20WG.pdf,[],{}
https://dopl.idaho.gov/wp-content/uploads/2025/06/2025-June-BOM-newsletter.pdf,"['Clinical Documentation AI', 'Operational and Administrative Automation', 'Patient-facing AI', 'Robotics and Surgical AI', 'Education and Training AI', 'Research and Clinical Trial AI', 'Predictive Analytics', 'Public Health AI', 'Clinical Decision Support']","{'Clinical Documentation AI': 0.635746586197705, 'Operational and Administrative Automation': 0.6283989355579156, 'Patient-facing AI': 0.6175562857688405, 'Robotics and Surgical AI': 0.6455988960379548, 'Education and Training AI': 0.6412552354294931, 'Research and Clinical Trial AI': 0.6076401607185997, 'Predictive Analytics': 0.6417395183217638, 'Public Health AI': 0.6820488958452563, 'Clinical Decision Support': 0.6777801849466495}"
https://veterans.idaho.gov/wp-content/uploads/2024/05/2024-MAY-Bulletin.pdf,[],{}
https://www.chfs.ky.gov/agencies/os/oats/polstand/080101AIGen%20AI.pdf,[],{}
https://mgaleg.maryland.gov/cmte_testimony/2025/fin/29604_03262025_92242-987.pdf,[],{}
https://mgaleg.maryland.gov/cmte_testimony/2025/hgo/1j4iZpX3Ve6-I1rNwbJGBSgJV2LOs03sD.pdf,['Clinical Documentation AI'],{'Clinical Documentation AI': 0.6294705136582064}
https://mgaleg.maryland.gov/2025RS/fnotes/bil_0000/hb0820.pdf,[],{}
https://mgaleg.maryland.gov/cmte_testimony/2025/fin/1GRIaGO_kWSq1rEV21eAeK6WPYNZggVvC.pdf,[],{}
https://mgaleg.maryland.gov/2025RS/bills/hb/hb0820F.pdf,[],{}
https://ag.ny.gov/sites/default/files/reports/oag-aisymposiumreport.pdf,"['Education and Training AI', 'Public Health AI', 'Medical Imaging AI', 'Research and Clinical Trial AI', 'Clinical Decision Support', 'Clinical Documentation AI', 'Operational and Administrative Automation', 'Patient-facing AI']","{'Education and Training AI': 0.6352408513952318, 'Public Health AI': 0.6288650628504875, 'Medical Imaging AI': 0.7018705893473612, 'Research and Clinical Trial AI': 0.6069552510859725, 'Clinical Decision Support': 0.605407624348687, 'Clinical Documentation AI': 0.6889585868071642, 'Operational and Administrative Automation': 0.6691586457507606, 'Patient-facing AI': 0.6632672812624114}"
https://info.nystateofhealth.ny.gov/sites/default/files/NYSOH%20Health%20Equity%20Portfolio.pdf,[],{}
https://ahea.assembly.ca.gov/system/files/2025-05/background_paper_genai_in_health_care_joint_asm_health_privacy_hearing_5.28.pdf,"['Clinical Documentation AI', 'Operational and Administrative Automation', 'Patient-facing AI', 'Education and Training AI', 'Research and Clinical Trial AI', 'Public Health AI', 'Medical Imaging AI', 'Robotics and Surgical AI', 'Clinical Decision Support', 'Predictive Analytics']","{'Clinical Documentation AI': 0.6576640979928268, 'Operational and Administrative Automation': 0.6365982924962252, 'Patient-facing AI': 0.6248184790133265, 'Education and Training AI': 0.6286042399311287, 'Research and Clinical Trial AI': 0.6444493349448633, 'Public Health AI': 0.6177206075291033, 'Medical Imaging AI': 0.6409711644363412, 'Robotics and Surgical AI': 0.6763225408575899, 'Clinical Decision Support': 0.673022793772215, 'Predictive Analytics': 0.6401819948983394}"
https://mgaleg.maryland.gov/cmte_testimony/2025/fin/1xemGZLy9scMGuYG3fvyo0YGSzLoOo5j1.pdf,[],{}
https://www.health.ny.gov/health_care/medicaid/ebbrac/meetings/2024/docs/policy_brief_rpt.pdf,[],{}
https://www.peba.sc.gov/sites/default/files/hcp_materials_march2025.pdf,[],{}
https://www.capitol.tn.gov/Bills/114/Bill/SB1261.pdf,[],{}
https://www.house.texas.gov/pdfs/committees/reports/interim/88interim/House-Select-Committee-on-Artificial-Intelligence-and-Emerging-Technologies-Interim-Report-2024.pdf,"['Clinical Documentation AI', 'Medical Imaging AI', 'Operational and Administrative Automation', 'Patient-facing AI', 'Robotics and Surgical AI', 'Research and Clinical Trial AI', 'Public Health AI', 'Education and Training AI']","{'Clinical Documentation AI': 0.6052067327004121, 'Medical Imaging AI': 0.6313969300872023, 'Operational and Administrative Automation': 0.6534858915637384, 'Patient-facing AI': 0.6225878857140619, 'Robotics and Surgical AI': 0.628901920186786, 'Research and Clinical Trial AI': 0.6220887986148838, 'Public Health AI': 0.6015480553159421, 'Education and Training AI': 0.6274618666303888}"
