URL,AI Applications,Similarity Scores
https://www.fda.gov/files/medical%20devices/published/US-FDA-Artificial-Intelligence-and-Machine-Learning-Discussion-Paper.pdf,['Public Health AI'],{'Public Health AI': 0.6197255026456103}
https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221624.pdf,[],{}
https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193271.pdf,[],{}
https://405d.hhs.gov/Documents/405d-post-volxxv-july-2024.pdf,"['Operational and Administrative Automation', 'Research and Clinical Trial AI', 'Clinical Documentation AI']","{'Operational and Administrative Automation': 0.6297378568501393, 'Research and Clinical Trial AI': 0.6042479996315272, 'Clinical Documentation AI': 0.6237185242396835}"
https://aspe.hhs.gov/sites/default/files/documents/1348a9a067fd4d225981a822dfe25ea5/trustworthy-ai.pdf,"['Clinical Documentation AI', 'Medical Imaging AI', 'Education and Training AI', 'Research and Clinical Trial AI', 'Public Health AI']","{'Clinical Documentation AI': 0.6227762110599778, 'Medical Imaging AI': 0.6206573485545507, 'Education and Training AI': 0.6235189419319043, 'Research and Clinical Trial AI': 0.6658795477378326, 'Public Health AI': 0.6273864828865593}"
https://www.healthit.gov/sites/default/files/page/2020-02/GettingerModeratorSlidesAIPanelsforONCAnnualMeeting12720Final.pdf,"['Patient-facing AI', 'Public Health AI', 'Clinical Documentation AI', 'Operational and Administrative Automation', 'Education and Training AI', 'Clinical Decision Support']","{'Patient-facing AI': 0.6150209714411182, 'Public Health AI': 0.6337018616395637, 'Clinical Documentation AI': 0.6117358353184534, 'Operational and Administrative Automation': 0.6316757163808545, 'Education and Training AI': 0.6133962796812198, 'Clinical Decision Support': 0.6123866712967649}"
https://www.healthit.gov/sites/default/files/page/2021-02/ONC-LEAP-in-Health-IT-SEN-FY2021.pdf,"['Research and Clinical Trial AI', 'Public Health AI']","{'Research and Clinical Trial AI': 0.6333541928538285, 'Public Health AI': 0.6211932804500975}"
https://www.healthit.gov/sites/default/files/2022-01/ONC_AI_in_Health_IT_Showcase.pdf,['Public Health AI'],{'Public Health AI': 0.6173966526793301}
https://www.healthit.gov/sites/default/files/facas/2024-04-11_John_Brownstein_Presentation_508.pdf,[],{}
https://www.healthit.gov/sites/default/files/page/2024-11/HITAC_Annual_Report_for_FY24_508.pdf,['Public Health AI'],{'Public Health AI': 0.6106827121390015}
https://digirepo.nlm.nih.gov/master/borndig/9918734183106676/9918734183106676.pdf,"['Public Health AI', 'Research and Clinical Trial AI', 'Patient-facing AI', 'Clinical Decision Support', 'Clinical Documentation AI', 'Medical Imaging AI', 'Operational and Administrative Automation', 'Education and Training AI']","{'Public Health AI': 0.6327139251660313, 'Research and Clinical Trial AI': 0.6168761465380426, 'Patient-facing AI': 0.6234852171658128, 'Clinical Decision Support': 0.6000724327481378, 'Clinical Documentation AI': 0.6011913136484622, 'Medical Imaging AI': 0.6245602564411727, 'Operational and Administrative Automation': 0.629954620131047, 'Education and Training AI': 0.6221773780867852}"
https://dpcpsi.nih.gov/sites/default/files/2025-04/115PM-OSC-Concept-Clearance-PRIMED-AI-Chiang-Tromberg-508.pdf,[],{}
https://commonfund.nih.gov/sites/default/files/PRIMED-AI/PRIMED-AI%20External-Input-Narrative-508.pdf,[],{}
https://seed.nih.gov/sites/default/files/2023-09/NIA-SaMD-and-AI.pdf,['Patient-facing AI'],{'Patient-facing AI': 0.6403076899886505}
https://seed.nih.gov/sites/default/files/2025-03/HHS_Topics_for_Budget_WaiversREV.pdf,"['Medical Imaging AI', 'Research and Clinical Trial AI', 'Patient-facing AI']","{'Medical Imaging AI': 0.6287336803207546, 'Research and Clinical Trial AI': 0.6610116832477492, 'Patient-facing AI': 0.6128674806759931}"
https://braininitiative.nih.gov/sites/default/files/documents/brain2025_508c_2.pdf,[],{}
https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-5.pdf,[],{}
https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8084.pdf,[],{}
https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-206.pdf,[],{}
https://nvlpubs.nist.gov/nistpubs/SpecialPublications/1500-18/NIST.SP.1500-18r2.pdf,[],{}
https://www.cms.gov/priorities/innovation/files/x/aichallenge-pubnotice_08_13_2020.pdf,[],{}
https://www.cms.gov/priorities/innovation/files/slides/ai-hoc-overview-webinar-slides.pdf,[],{}
https://www.cdc.gov/pcd/issues/2024/pdf/24_0245.pdf,"['Public Health AI', 'Clinical Documentation AI', 'Education and Training AI', 'Medical Imaging AI', 'Operational and Administrative Automation', 'Patient-facing AI', 'Predictive Analytics', 'Research and Clinical Trial AI']","{'Public Health AI': 0.6460129546430045, 'Clinical Documentation AI': 0.6143388806249657, 'Education and Training AI': 0.6142726383890702, 'Medical Imaging AI': 0.6328333114750503, 'Operational and Administrative Automation': 0.620307421045833, 'Patient-facing AI': 0.6249330628812502, 'Predictive Analytics': 0.6206867576699413, 'Research and Clinical Trial AI': 0.6175796118611142}"
https://www.cdc.gov/health-communication/media/pdfs/2024/10/AI-for-Good_Listen-Up_S2E5_Transcript.pdf,[],{}
https://beta.cdc.gov/global-health/media/pdfs/GDHS_Strategy2022_REV_508.pdf,[],{}
https://www.whitehouse.gov/wp-content/uploads/2024/03/M-24-10-Advancing-Governance-Innovation-and-Risk-Management-for-Agency-Use-of-Artificial-Intelligence.pdf,[],{}
https://www.whitehouse.gov/wp-content/uploads/2023/11/AI-in-Government-Memo-draft-for-public-review.pdf,[],{}
https://www.aim-ahead.net/media/hd3fws1l/dstc-resources-pptx.pdf,['Education and Training AI'],{'Education and Training AI': 0.6063795749326124}
https://www.aim-ahead.net/media/3cvd4x4g/pair-cohort-2-informational-webinar-shared.pdf,[],{}
