PDF Link,AI Applications,Similarity Scores
https://iris.iowa.gov/docs/CompleteUserManual.pdf,[],{}
https://ags.hawaii.gov/wp-content/uploads/2021/06/2018StateBuildingCode_20210518.pdf,[],{}
https://www.nj.gov/njded/code/current/title6a/chap16.pdf,[],{}
http://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1222.pdf,[],{}
https://aspe.hhs.gov/sites/default/files/documents/c3430d539a1463924ddb515151759d38/PTAC-Jun-11-LS2-Slides.pdf,[],{}
https://www.cdss.ca.gov/agedblinddisabled/res/swta/ihss101_partii.pdf,[],{}
https://www.nj.gov/it/docs/StrategicPlan_25-26.pdf,[],{}
https://www.maine.gov/future/sites/maine.gov.future/files/2024-10/1.Maine%20Wont%20Wait%20Full%20Draft%20for%20MCC.pdf,[],{}
https://www.utah.gov/pmn/files/1134371.pdf,[],{}
https://datascience.nih.gov/sites/default/files/users/user516/AI-Supplement-Dr-Pilhwa-Lee-Presentation-508.pdf,[],{}
https://hwbdocs.env.nm.gov/Fort%20Bliss/1993-04-03%20Final%20EA%20for%20for%20Roving%20Sands%2093%20Joint%20Training%20Exercise.pdf,[],{}
https://mgaleg.maryland.gov/cmte_testimony/2024/fin/19866_02132024_203842-713.pdf,[],{}
https://dphhs.mt.gov/assets/publichealth/EMSTS/opioids/SUDsStrategicPlan2024.pdf,[],{}
https://www.in.gov/indianabroadband/files/Indiana-DE-Plan.pdf,[],{}
https://health.hawaii.gov/shpda/files/2014/09/sh0805a.pdf,[],{}
https://budget.digital.mass.gov/bb/h1/fy10h1/dnld10/briefs10.pdf,[],{}
https://www.cms.gov/files/document/cms-9895-p-patient-protection-final.pdf,[],{}
https://medicaid.ms.gov/wp-content/uploads/2014/04/CHIP-Contract.pdf,[],{}
https://www.wtb.wa.gov/wp-content/uploads/2019/04/Future-of-Work-2018-Report.pdf,[],{}
https://mn.gov/dhs/assets/Minnesota%20Final%20Report%20on%202020-2024%20CFSP_tcm1053-627766.pdf,[],{}
https://remm.hhs.gov/tmt-handbook-20091.pdf,[],{}
https://osp.od.nih.gov/wp-content/uploads/ninja-forms/7/Berg-Revised-Response-to-NOT-OD-23-140-3Sept2023.pdf,[],{}
https://wsdot.wa.gov/sites/default/files/2025-04/CEP-PublicReviewDraft-2025Update.pdf,[],{}
https://le.utah.gov/xcode/Title58/Chapter28/C58-28_1800010118000101.pdf,[],{}
https://nam.edu/wp-content/uploads/2025/02/AI-Enabled-Protein-Design_10.17.24.pdf,['Public Health AI'],{'Public Health AI': 0.6170252909981881}
https://mh.alabama.gov/wp-content/uploads/2025/02/2024-PATH-App-FY25-FINAL-download.pdf,[],{}
https://www.nidcr.nih.gov/sites/default/files/2022-01/NIDCR-Strategic-Plan-2021-2026.pdf,[],{}
https://www.capitol.tn.gov/Archives/Joint/committees/fiscal-review/contracts/13.%20Commerce%20(AT&T%20Corp).pdf,[],{}
http://www.ncvhs.hhs.gov/wp-content/uploads/2014/05/001030h2.pdf,[],{}
https://www.ftb.ca.gov/about-ftb/meetings/board-meetings/2024/march-2024/4_artificial_intelligence_and_ftb.pdf,[],{}
