pdf_url,categories
https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/downloads/som107ap_a_hospitals.pdf,None
https://nam.edu/wp-content/uploads/2021/07/4.3-AI-in-Health-Care-title-authors-summary.pdf,None
https://www.chfs.ky.gov/agencies/dph/oc/Documents/FY24-Clinical-Service-Guide.pdf,None
https://dcr.hawaii.gov/wp-content/uploads/2024/08/2024-Community-Resource-Guide-Part-1.pdf,None
https://www.maine.gov/dhhs/mecdc/environmental-health/plumb/documents/rules/CMR%20241%2007-1995.pdf,Missing Text
https://stacks.cdc.gov/view/cdc/103606/cdc_103606_DS1.pdf,Predictive AI
https://www.ahima.org/media/gq5jeclv/recertification_guide_2021.pdf,None
https://dsp.delaware.gov/wp-content/uploads/sites/118/2020/07/Annual-Report-2019.pdf,None
https://journalwjarr.com/sites/default/files/fulltext_pdf/WJARR-2025-0268.pdf,Descriptive AI
https://pdfs.semanticscholar.org/7fa1/44eef185f0ecea7724fbcddffb7343fe1edf.pdf,None
https://doit.illinois.gov/content/dam/soi/en/web/doit/meetings/ai-taskforce/reports/2024-gen-ai-task-force-report.pdf,"Predictive AI, Generative AI"
https://www.in.gov/sboe/files/Board-Memo-and-SEBH-Plan.pdf,None
https://www.healthit.gov/sites/default/files/page/2022-10/Priorities%20to%20Accelerate%20Workflow%20Automation-508-1022.pdf,None
https://www.education.nh.gov/sites/g/files/ehbemt326/files/inline-documents/sonh/504-resource-guide-201612.pdf,None
https://dpcpsi.nih.gov/sites/default/files/NIH-2010-2011-Biennial-Report-2-19-13.pdf,None
https://www.pa.gov/content/dam/copapwp-pagov/en/education/documents/instruction/charter-schools/charter-school-annual-reports/2022-23/pennsylvania%20cyber%20cs%202022-23%20annual%20report.pdf,None
https://www.ama-assn.org/system/files/a23-mss-refcomm-report.pdf,Generative AI
https://education.mn.gov/mdeprod/groups/educ/documents/hiddencontent/mdaw/mda1/~edisp/005242.pdf,None
https://doit.illinois.gov/content/dam/soi/en/web/doit/documents/initiatives/doit-steam/2023-newsletters/STEAM%20Newsletter%20April%202023.pdf,Generative AI
https://www.sos.mo.gov/CMSImages/AdRules/moreg/2025/v50n3Feb3/V50n3.pdf,None
