url,predicted_specialty
https://www.fda.gov/files/medical%20devices/published/US-FDA-Artificial-Intelligence-and-Machine-Learning-Discussion-Paper.pdf,unclassified
https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221624.pdf,"oncology, radiology, pathology"
https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193271.pdf,radiology
https://405d.hhs.gov/Documents/405d-post-volxxv-july-2024.pdf,unclassified
https://aspe.hhs.gov/sites/default/files/documents/1348a9a067fd4d225981a822dfe25ea5/trustworthy-ai.pdf,unclassified
https://www.healthit.gov/sites/default/files/page/2020-02/GettingerModeratorSlidesAIPanelsforONCAnnualMeeting12720Final.pdf,unclassified
https://www.healthit.gov/sites/default/files/page/2021-02/ONC-LEAP-in-Health-IT-SEN-FY2021.pdf,unclassified
https://www.healthit.gov/sites/default/files/2022-01/ONC_AI_in_Health_IT_Showcase.pdf,dermatology
https://www.healthit.gov/sites/default/files/facas/2024-04-11_John_Brownstein_Presentation_508.pdf,pediatrics
https://www.healthit.gov/sites/default/files/page/2024-11/HITAC_Annual_Report_for_FY24_508.pdf,unclassified
https://digirepo.nlm.nih.gov/master/borndig/9918734183106676/9918734183106676.pdf,unclassified
https://dpcpsi.nih.gov/sites/default/files/2025-04/115PM-OSC-Concept-Clearance-PRIMED-AI-Chiang-Tromberg-508.pdf,radiology
https://commonfund.nih.gov/sites/default/files/PRIMED-AI/PRIMED-AI%20External-Input-Narrative-508.pdf,radiology
https://seed.nih.gov/sites/default/files/2023-09/NIA-SaMD-and-AI.pdf,cardiology
https://seed.nih.gov/sites/default/files/2025-03/HHS_Topics_for_Budget_WaiversREV.pdf,"surgery, Obstetrics_Gynecology, oncology, radiology, cardiology, endocrinology, pulmonology, rheumatology, psychiatry, pediatrics, neurology, infectious_diseases"
https://braininitiative.nih.gov/sites/default/files/documents/brain2025_508c_2.pdf,"surgery, radiology, pathology, psychiatry, ophthalmology, otolaryngology, neurology"
https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-5.pdf,unclassified
https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8084.pdf,unclassified
https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-206.pdf,unclassified
https://nvlpubs.nist.gov/nistpubs/SpecialPublications/1500-18/NIST.SP.1500-18r2.pdf,unclassified
https://www.cms.gov/priorities/innovation/files/x/aichallenge-pubnotice_08_13_2020.pdf,unclassified
https://www.cms.gov/priorities/innovation/files/slides/ai-hoc-overview-webinar-slides.pdf,unclassified
https://www.cdc.gov/pcd/issues/2024/pdf/24_0245.pdf,unclassified
https://www.cdc.gov/health-communication/media/pdfs/2024/10/AI-for-Good_Listen-Up_S2E5_Transcript.pdf,unclassified
https://beta.cdc.gov/global-health/media/pdfs/GDHS_Strategy2022_REV_508.pdf,infectious_diseases
https://www.whitehouse.gov/wp-content/uploads/2024/03/M-24-10-Advancing-Governance-Innovation-and-Risk-Management-for-Agency-Use-of-Artificial-Intelligence.pdf,unclassified
https://www.whitehouse.gov/wp-content/uploads/2023/11/AI-in-Government-Memo-draft-for-public-review.pdf,unclassified
