Category,PDF Link
State,https://s3.glo.texas.gov/ncu/SCANDOCS/archives_webfiles/arcmaps/webfiles/landgrants/PDFs/1/0/4/0/1040533.pdf
State,http://publications.iowa.gov/22677/1/ISU%20Premedical%20and%20Health%20Sciences.pdf
State,https://apps.legislature.ky.gov/record/16RS/hb572/bill.pdf
Federal,https://stacks.cdc.gov/view/cdc/111162/cdc_111162_DS1.pdf
State,https://www.cms.gov/files/document/cms-0057-f.pdf
State,https://www.pers.ms.gov/Content/Handbooks/Member_Handbook.pdf
State,https://www.dhs.wisconsin.gov/publications/p03535-2025.pdf
State,"https://www.courts.michigan.gov/4aec3b/siteassets/committees,-boards-special-initiatves/michigan-judicial-council/2024-genai-wg-report.pdf"
Professional,https://www.academia.edu/download/122015325/Paper24402.pdf
State,https://www.utah.gov/pmn/files/980623.pdf
Professional,https://ceur-ws.org/Vol-2640/paper_7.pdf
State,https://efsec.wa.gov/sites/default/files/2025-05/WEST_2023_CPE%20Cumulative%20Effects_20230109.pdf
State,https://www.education.ky.gov/districts/tech/Documents/2024%20KETS%20Timeline.pdf
State,https://www.senate.texas.gov/cmtes/82/c530/0518-AndreaHodge.pdf
Professional,https://www.usmcu.edu/Portals/218/MCCS%20Policies%20Manual%20MCO%20P1700_27B%20W%20CH%201.pdf
State,https://portal.ct.gov/-/media/CAES/DOCUMENTS/Publications/Record_of_the_Year/CAES-Record-of-the-Year-2020-2021.pdf
Professional,https://plasujalis.com/published_manuscripts/vol-2-1-2025/PLASUJALIS-4874-30-53.pdf
State,https://dpbh.nv.gov/uploadedFiles/dpbhnvgov/content/Boards/RBHPB/Meetings/2018/civil-commitment-continuum-of-care.pdf
Federal,https://dpcpsi.nih.gov/sites/default/files/fy2020-performance-plan.pdf
Professional,https://ahca.myflorida.com/content/download/22249/file/Complete_FL_CHIP_State_Plan_07132022.pdf
State,https://www.oregon.gov/highered/strategy-research/Documents/Reports/2024-talent-assessment.pdf
State,https://sos.oregon.gov/audits/Documents/2024-07.pdf
Federal,https://www.healthit.gov/sites/default/files/page/2020-03/HITAC%20Annual%20Report%20for%20FY19_508.pdf
State,https://www.oregon.gov/oha/HPA/HP-HCW/Documents/2021-Health-Care-Workforce-Needs-Assessment.pdf
State,https://www.oregon.gov/ogec/Documents/2021%20PO%20Guide%20Final%20Adopted.pdf
