Category,PDF Link
Federal,https://www.fda.gov/files/medical%20devices/published/US-FDA-Artificial-Intelligence-and-Machine-Learning-Discussion-Paper.pdf
Federal,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221624.pdf
Federal,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193271.pdf
Federal,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K232672.pdf
Federal,https://www.accessdata.fda.gov/cdrh_docs/pdf2/P020011c.pdf
Federal,https://www.fda.gov/files/food/published/GRAS-Notice-000581.pdf
Federal,https://www.accessdata.fda.gov/cdrh_docs/pdf4/P040052c.pdf
Federal,https://www.hhs.gov/guidance/sites/default/files/hhs-guidance-documents/FDA/Guidance-Clinical-Decision-Software.pdf
Federal,https://www.hhs.gov/sites/default/files/sharing-and-utilizing-health-data-for-ai-applications.pdf
Federal,https://www.hhs.gov/sites/default/files/final-hhs-ai-strategy.pdf
Federal,https://www.hhs.gov/sites/default/files/ohrp-exploratory-workshop-summary-report-2024.pdf
Federal,https://www.hhs.gov/sites/default/files/department-of-health-and-human-services-omb-m-21-06.pdf
Federal,https://405d.hhs.gov/Documents/405d-post-volxxv-july-2024.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/1348a9a067fd4d225981a822dfe25ea5/trustworthy-ai.pdf
Federal,https://www.hhs.gov/sites/default/files/public-benefits-and-ai.pdf
Federal,https://www.hhs.gov/sites/default/files/social-engineering-targeting-the-hph-sector-tlpclear.pdf
Federal,https://www.hhs.gov/sites/default/files/ai-and-phishing-as-a-threat-to-the-hph-white-paper-tlpclear.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/29169d5765caa32bc6afc3ae1893221f/fy2024-ospcortf-annual-report.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/f56f32a676f33fe746209e56d6b72191/vaccine-outreach-research-report-sept-release.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/6ba4bbb2e9c9551355a6926f023f1585/SDOH-Evidence-Review.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/a4aef2b535dfc8a5a5571912e35c51a6/aspe-brief-human-services-health-data-linking.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/ff2e6f2963400dcd00e0132fb9870525/preparedness-metrics-report.pdf
