Category,PDF Link
Federal,https://www.hhs.gov/sites/default/files/final-hhs-ai-strategy.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/1348a9a067fd4d225981a822dfe25ea5/trustworthy-ai.pdf
Federal,https://www.hhs.gov/sites/default/files/public-benefits-and-ai.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/f41228a503b7fadc9c34981edeca7448/aspe-coverage-access-aian-ib.pdf
Federal,https://www.hhs.gov/sites/default/files/hhs-trustworthy-ai-playbook-executive-summary.pdf
Federal,https://405d.hhs.gov/Documents/405d-post-volxxv-july-2024.pdf
Federal,https://www.hhs.gov/sites/default/files/ohrp-exploratory-workshop-summary-report-2024.pdf
Federal,https://ncvhs.hhs.gov/wp-content/uploads/2023/05/Presentation-NCVHS-FC-Meeting-Day-2-Artificial-Intelligence-Hoppe.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/e7b3d02affdda1949c215f57b65b5541/aspe-ihs-funding-disparities-report.pdf
Federal,https://www.hhs.gov/sites/default/files/ai-cybersecurity-health-sector-tlpclear.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/a4aef2b535dfc8a5a5571912e35c51a6/aspe-brief-human-services-health-data-linking.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/29169d5765caa32bc6afc3ae1893221f/fy2024-ospcortf-annual-report.pdf
Federal,https://www.acf.hhs.gov/sites/default/files/documents/opre/practice_brief_2_6_13_17_final_approved_101217_508_compliant.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/ff2e6f2963400dcd00e0132fb9870525/preparedness-metrics-report.pdf
Federal,https://www.aspe.hhs.gov/sites/default/files/documents/4b65476c58e363735aa9065a82a35df4/PTAC-TCOC-RTS.pdf
Federal,https://www.healthit.gov/sites/default/files/facas/2024-04-11_John_Brownstein_Presentation_508.pdf
Federal,https://www.healthit.gov/sites/default/files/2023-12/Health_Sector_AI_Commitments_FINAL_120923.pdf
Federal,https://www.healthit.gov/sites/default/files/2022-01/ONC_AI_in_Health_IT_Showcase.pdf
Federal,https://www.healthit.gov/sites/default/files/facas/2024-04-11_Presenter_Biographies.pdf
Federal,https://www.healthit.gov/sites/default/files/facas/2024-04-11_Christopher_Longhurst_Presentation_508.pdf
